comment,author_display_name,comment_like_count
Masterpiece of songs he should be the God of songs ❤❤❤❤❤❤❤❤❤❤❤❤❤🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉❤🎉❤❤🎉❤🎉❤🎉❤❤🎉❤🎉❤🎉❤🎉❤🎉❤🎉❤🎉❤🎉❤🎉❤🎉❤🎉❤🎉❤🎉❤🎉❤🎉❤🎉❤🎉❤🎉🎉❤🎉❤🎉❤🎉❤🎉❤❤🎉🎉❤🎉🎉❤,@advaytripathi3245,2
Superb fantastic,@swetajain2565,0
❤❤😘😘😘😘😘🙏🏻,@sutariyaprerana52,0
Sanam💕,@charusharma5222,1
Sonu negm ko takkar de rhe ho😊  lovely voice❤,@anuradhakanerkar8983,1
Wow 😲🤩😍. Super 👌. Old 😊. Is gold 🏆. Best 👍💯. Songs 🎵❤🌹👍,@rambabunagde391,0
"Best, good work ( i'm a daily listner to this )",@bhavyajain5915,2
Красивый мужчина и прекрасный певец!,@user-rv8hq7of4q,5
¹,@antarasamanta3433,0
❤❤❤❤❤,@uttamchand7714,0
Sanam i love u,@uttamchand7714,3
Outstanding ❤❤❤,@gulshanaktar5144,0
In search of gold we lost diamonds.  This is the real pure gem. Masterpiece ❤❤❤.,@aniveshyadav1085,3
Ok,@kanugupta4542,0
sanam,@poojamaggu3036,1
sanam,@poojamaggu3036,1
sanam,@poojamaggu3036,1
sanam,@poojamaggu3036,1
Wow nice song 💓💓💓💓💓💓💓💓💓,@AnitaKumari-nw8bd,1
I loving it❣,@shivrajjadhav1629,1
Where is Sanam and his group...has bollywood gaint gulped him,@bani5105,2
One of the best song list I ever heard with.... ❤❤❤❤❤🇮🇳,@anuragmohite8264,0
😊😊,@anithashamanuru8182,0
Knguttm,@sujatashinde2538,0
Nelesh mishra,@sujatashinde2538,0
tarun kumar milo,@sujatashinde2538,0
Good job.. i love this voice. 🇱🇰😍,@chandimakumari2990,1
Just discovered your music..now its my peace.. TY 💓💓,@sabrinakumar8507,6
Whenever I listen to Sanam it reminds me of my college days.,@user-rx9ox5ev1k,2
Sanam ❤️ Outstanding 💝,@deepmalakujur6121,2
❤❤❤,@dhaneshwaripkolhe,0
"Sanam is most handsome and having most lovingly sound in the world ,deadly combination he has...",@hemantmaurya720,1
Fabulous Voice👌👌💖 Fentastct band👍🇮🇳👩,@rekakandwal9306,1
"Fabulous voice, fantastic band & good co-ordination i love sanam",@pradeepbharamagoudra2270,11
Hello?? These are NOT Sanam's song. At least give credits to the lyricists and composers. Repackaging it does not make it YOUR song.,@shumadev8334,0
👌👌👌❤❤❤,@mavaksbdhxhx9970,0
☝️☝️👌👌👏👏🥳🥳💐💐💐,@tathasthupalekar18,0
Ma ni Jani ho,@daretochallengegaming7600,0
Blessed voice,@janakdesai5401,1
"Oi peresan hoyle ami ki kormu, tor ei notun world amar ocena, sottie cinte parci na,",@jaifa_munsih,0
"Yeer tere sahara mere lie joruri hain, need more teaching",@jaifa_munsih,4
The real foolish man i am,@jaifa_munsih,0
Osm,@rajmalhotra134,0
Nice bro,@vaghelajugiahemedabadvaghe8174,0
Yaar sanam bhai aaj kal kaha hi . Inka koe naya songs  🎵 nahi aaraha . Bahut dino se inka koe to Pata lagao bhai yeh kaha hi aaj kal,@tabreztabrezalam3073,1
Me daily jab walk karti hu ya mood theek karna hai to sanam ke hi song  sunti hu,@kaminijain8769,29
Saraswati maa ka ashirwad h inki awaz❤️✨,@kashishotwal4857,1
Sanam puri gives original feel of the music,@vijaykarche,3
Very inspiring 💜❤️❤️🌹,@shashisingh9392,1
Rocking 🔥🇫🇯♥️♥️♥️♥️♥️♥️♥️,@shashisingh9392,1
I like your voice...Sanam......too good.   Waves in your voice. I must. Say. My. Age reverse to 23...25.,@morikori5502,1
I like to sleep with these songs from sanam,@damodardasladha4096,0
Nice.....,@chinkikashyap3085,0
Excellent..,@kulajitmazumdar4666,0
👌,@burhansadabar1467,0
hai apna dil songs mera favourite ha,@sanjusingh-bn1ml,0
👍🔥,@sumanachakraborty9967,0
Hey! Wow dear you r simply owesom,@shabushabu850,1
"10 uur ,alright ,love you ❤️💓❤️💋💋",@riyadelorez6604,0
"Dont worry ,i will try Ahista Ahista😄😄😄💞💞",@riyadelorez6604,0
